orthogroup_ID,geneID,spcies
OG0000000,3017,Hsap
OG0000000,8340,Hsap
OG0000000,8339,Hsap
OG0000000,8347,Hsap
OG0000000,8343,Hsap
OG0000000,8346,Hsap
OG0000000,8341,Hsap
OG0000000,102724334,Hsap
OG0000000,54145,Hsap
OG0000000,85236,Hsap
OG0000000,8344,Hsap
OG0000000,8345,Hsap
OG0000000,8348,Hsap
OG0000000,128312,Hsap
OG0000000,440689,Hsap
OG0000000,8349,Hsap
OG0000000,8970,Hsap
OG0000000,3018,Hsap
OG0000000,8342,Hsap
OG0000001,3467,Hsap
OG0000002,221613,Hsap
OG0000002,317772,Hsap
OG0000002,55766,Hsap
OG0000002,723790,Hsap
OG0000002,8337,Hsap
OG0000002,8338,Hsap
OG0000002,8335,Hsap
OG0000002,3012,Hsap
OG0000002,8330,Hsap
OG0000002,8336,Hsap
OG0000002,8332,Hsap
OG0000002,8969,Hsap
OG0000002,8329,Hsap
OG0000002,8331,Hsap
OG0000002,85235,Hsap
OG0000002,3013,Hsap
OG0000002,8334,Hsap
OG0000002,92815,Hsap
OG0000003,3021,Hsap
OG0000003,440093,Hsap
OG0000003,340096,Hsap
OG0000003,391769,Hsap
OG0000003,3020,Hsap
OG0000003,8356,Hsap
OG0000003,8351,Hsap
OG0000003,8355,Hsap
OG0000003,8358,Hsap
OG0000003,8968,Hsap
OG0000003,8357,Hsap
OG0000003,8352,Hsap
OG0000003,8353,Hsap
OG0000003,8354,Hsap
OG0000003,8350,Hsap
OG0000003,126961,Hsap
OG0000003,333932,Hsap
OG0000003,440686,Hsap
OG0000003,653604,Hsap
OG0000003,8290,Hsap
OG0000006,26648,Hsap
OG0000008,286887,Hsap
OG0000008,3854,Hsap
OG0000008,3853,Hsap
OG0000008,3852,Hsap
OG0000008,9119,Hsap
OG0000008,338785,Hsap
OG0000008,3851,Hsap
OG0000008,3848,Hsap
OG0000008,3849,Hsap
OG0000008,3850,Hsap
OG0000008,51350,Hsap
OG0000009,219968,Hsap
OG0000009,441608,Hsap
OG0000009,390190,Hsap
OG0000009,219965,Hsap
OG0000009,390191,Hsap
OG0000011,112714,Hsap
OG0000011,7278,Hsap
OG0000011,113457,Hsap
OG0000011,80086,Hsap
OG0000011,7846,Hsap
OG0000011,10376,Hsap
OG0000011,84790,Hsap
OG0000011,7277,Hsap
OG0000011,79861,Hsap
OG0000011,51807,Hsap
OG0000013,26333,Hsap
OG0000015,100129543,Hsap
OG0000015,148198,Hsap
OG0000015,57615,Hsap
OG0000015,440519,Hsap
OG0000015,148203,Hsap
OG0000015,284443,Hsap
OG0000015,163227,Hsap
OG0000015,80264,Hsap
OG0000015,148206,Hsap
OG0000015,170959,Hsap
OG0000015,109504726,Hsap
OG0000015,51351,Hsap
OG0000015,51427,Hsap
OG0000015,171392,Hsap
OG0000015,7639,Hsap
OG0000015,148213,Hsap
OG0000015,7594,Hsap
OG0000015,163223,Hsap
OG0000015,388523,Hsap
OG0000015,7757,Hsap
OG0000015,730087,Hsap
OG0000015,9534,Hsap
OG0000015,7644,Hsap
OG0000015,113835,Hsap
OG0000015,353088,Hsap
OG0000015,168374,Hsap
OG0000015,100287226,Hsap
OG0000015,7652,Hsap
OG0000015,7562,Hsap
OG0000015,646864,Hsap
OG0000015,7697,Hsap
OG0000015,10793,Hsap
OG0000015,340252,Hsap
OG0000015,100129842,Hsap
OG0000015,7617,Hsap
OG0000015,7643,Hsap
OG0000015,199777,Hsap
OG0000015,81931,Hsap
OG0000015,440515,Hsap
OG0000015,56242,Hsap
OG0000015,90649,Hsap
OG0000015,168417,Hsap
OG0000015,730291,Hsap
OG0000015,441234,Hsap
OG0000015,90827,Hsap
OG0000015,152687,Hsap
OG0000015,170960,Hsap
OG0000015,654254,Hsap
OG0000015,7700,Hsap
OG0000015,255403,Hsap
OG0000015,7748,Hsap
OG0000015,442319,Hsap
OG0000015,728927,Hsap
OG0000015,57116,Hsap
OG0000015,91120,Hsap
OG0000015,339500,Hsap
OG0000015,162655,Hsap
OG0000018,26492,Hsap
OG0000018,219865,Hsap
OG0000018,26494,Hsap
OG0000019,125962,Hsap
OG0000021,10381,Hsap
OG0000021,84617,Hsap
OG0000021,81027,Hsap
OG0000021,347733,Hsap
OG0000021,7280,Hsap
OG0000021,10383,Hsap
OG0000021,107987035,Hsap
OG0000021,260334,Hsap
OG0000021,347688,Hsap
OG0000021,10382,Hsap
OG0000021,203068,Hsap
OG0000022,219493,Hsap
OG0000022,390148,Hsap
OG0000023,3456,Hsap
OG0000024,6323,Hsap
OG0000024,6326,Hsap
OG0000024,6328,Hsap
OG0000024,6335,Hsap
OG0000024,6334,Hsap
OG0000024,6329,Hsap
OG0000024,6331,Hsap
OG0000024,6336,Hsap
OG0000026,112268384,Hsap
OG0000026,346528,Hsap
OG0000026,402317,Hsap
OG0000026,107987545,Hsap
OG0000026,401427,Hsap
OG0000026,79541,Hsap
OG0000026,392138,Hsap
OG0000026,393046,Hsap
OG0000026,442361,Hsap
OG0000026,346525,Hsap
OG0000026,135941,Hsap
OG0000028,8359,Hsap
OG0000028,8367,Hsap
OG0000028,8363,Hsap
OG0000028,8361,Hsap
OG0000028,8366,Hsap
OG0000028,8362,Hsap
OG0000028,8365,Hsap
OG0000028,8368,Hsap
OG0000028,8364,Hsap
OG0000028,8370,Hsap
OG0000028,8294,Hsap
OG0000028,121504,Hsap
OG0000028,8360,Hsap
OG0000029,26740,Hsap
OG0000029,347168,Hsap
OG0000029,26219,Hsap
OG0000030,820,Hsap
OG0000034,22989,Hsap
OG0000034,57644,Hsap
OG0000034,4624,Hsap
OG0000034,4625,Hsap
OG0000034,8735,Hsap
OG0000034,4621,Hsap
OG0000034,4626,Hsap
OG0000034,4620,Hsap
OG0000034,4622,Hsap
OG0000034,4619,Hsap
OG0000035,138881,Hsap
OG0000037,345651,Hsap
OG0000037,71,Hsap
OG0000037,60,Hsap
OG0000037,58,Hsap
OG0000037,59,Hsap
OG0000037,72,Hsap
OG0000037,70,Hsap
OG0000038,26683,Hsap
OG0000038,729759,Hsap
OG0000038,81399,Hsap
OG0000038,441308,Hsap
OG0000039,390054,Hsap
OG0000039,23538,Hsap
OG0000042,254786,Hsap
OG0000043,386672,Hsap
OG0000043,386674,Hsap
OG0000043,386675,Hsap
OG0000043,386685,Hsap
OG0000046,56105,Hsap
OG0000046,26025,Hsap
OG0000046,56108,Hsap
OG0000046,56106,Hsap
OG0000046,56107,Hsap
OG0000046,9708,Hsap
OG0000046,56110,Hsap
OG0000046,56111,Hsap
OG0000046,56109,Hsap
OG0000046,56112,Hsap
OG0000046,56113,Hsap
OG0000046,56114,Hsap
OG0000046,56097,Hsap
OG0000046,56100,Hsap
OG0000046,56099,Hsap
OG0000046,56101,Hsap
OG0000046,8641,Hsap
OG0000046,56103,Hsap
OG0000046,56102,Hsap
OG0000046,56104,Hsap
OG0000048,390199,Hsap
OG0000048,219986,Hsap
OG0000048,390197,Hsap
OG0000049,124538,Hsap
OG0000049,26689,Hsap
OG0000051,22852,Hsap
OG0000052,130075,Hsap
OG0000052,135924,Hsap
OG0000053,119749,Hsap
OG0000053,283092,Hsap
OG0000054,476,Hsap
OG0000054,477,Hsap
OG0000054,480,Hsap
OG0000054,478,Hsap
OG0000054,479,Hsap
OG0000054,495,Hsap
OG0000055,8389,Hsap
OG0000055,8387,Hsap
OG0000055,8388,Hsap
OG0000057,1282,Hsap
OG0000057,1287,Hsap
OG0000057,1285,Hsap
OG0000057,1284,Hsap
OG0000057,1288,Hsap
OG0000057,1286,Hsap
OG0000059,3821,Hsap
OG0000059,3822,Hsap
OG0000059,3823,Hsap
OG0000059,8302,Hsap
OG0000062,341416,Hsap
OG0000062,403284,Hsap
OG0000063,126541,Hsap
OG0000063,26532,Hsap
OG0000064,120066,Hsap
OG0000065,219473,Hsap
OG0000067,3303,Hsap
OG0000067,3304,Hsap
OG0000067,3306,Hsap
OG0000067,3310,Hsap
OG0000067,3305,Hsap
OG0000067,3312,Hsap
OG0000068,12,Hsap
OG0000069,26538,Hsap
OG0000069,26539,Hsap
OG0000069,284433,Hsap
OG0000070,390275,Hsap
OG0000075,115361,Hsap
OG0000075,163351,Hsap
OG0000076,114571,Hsap
OG0000076,387601,Hsap
OG0000076,283238,Hsap
OG0000076,387775,Hsap
OG0000078,3882,Hsap
OG0000078,100653049,Hsap
OG0000078,3885,Hsap
OG0000078,3881,Hsap
OG0000078,3883,Hsap
OG0000078,3884,Hsap
OG0000078,125115,Hsap
OG0000079,144983,Hsap
OG0000079,3178,Hsap
OG0000079,220988,Hsap
OG0000080,387748,Hsap
OG0000080,196335,Hsap
OG0000081,219477,Hsap
OG0000081,81168,Hsap
OG0000082,26246,Hsap
OG0000082,81466,Hsap
OG0000082,391190,Hsap
OG0000082,391192,Hsap
OG0000083,642623,Hsap
OG0000084,6317,Hsap
OG0000084,6318,Hsap
OG0000086,441639,Hsap
OG0000087,56656,Hsap
OG0000088,219858,Hsap
OG0000088,26493,Hsap
OG0000089,144125,Hsap
OG0000089,338755,Hsap
OG0000090,341568,Hsap
OG0000091,100529240,Hsap
OG0000091,125893,Hsap
OG0000091,147660,Hsap
OG0000091,162966,Hsap
OG0000091,81856,Hsap
OG0000091,388558,Hsap
OG0000091,344787,Hsap
OG0000091,110116772,Hsap
OG0000091,388561,Hsap
OG0000091,126017,Hsap
OG0000091,170958,Hsap
OG0000091,91661,Hsap
OG0000091,91664,Hsap
OG0000091,55762,Hsap
OG0000091,388559,Hsap
OG0000091,7576,Hsap
OG0000091,90333,Hsap
OG0000091,162967,Hsap
OG0000091,162962,Hsap
OG0000091,284371,Hsap
OG0000091,90317,Hsap
OG0000091,55786,Hsap
OG0000091,79788,Hsap
OG0000091,90338,Hsap
OG0000091,84671,Hsap
OG0000091,147657,Hsap
OG0000091,162963,Hsap
OG0000091,400713,Hsap
OG0000091,84436,Hsap
OG0000091,147658,Hsap
OG0000091,90321,Hsap
OG0000091,55769,Hsap
OG0000094,1277,Hsap
OG0000094,1280,Hsap
OG0000094,1278,Hsap
OG0000094,1281,Hsap
OG0000094,1290,Hsap
OG0000095,100289561,Hsap
OG0000095,100533952,Hsap
OG0000095,57786,Hsap
OG0000095,84765,Hsap
OG0000095,114026,Hsap
