orthogroup_ID,logLikelihood_Null_hypothesis,Likelihood_Alternative_hypothesis,log_diff,p.values,fdr,entrezgene_id,species,UniProtKB_ID,PANTHER_ID
OG0003678,-9639.670092,-9356.975835,565.388514000002,2.827586678217351e-125,3.7454213139667033e-121,54795,Hsap,Q8TD43,PTHR13800
OG0003678,-9639.670092,-9356.975835,565.388514000002,2.827586678217351e-125,3.7454213139667033e-121,54795,Hsap,B4DIX5,NA
OG0003005,-11363.131481,-11086.549579,553.1638039999998,1.2903507025060537e-122,8.545992702697594e-119,23053,Hsap,A7E2V4,PTHR22619
OG0003092,-12958.854308,-12694.151295,529.4060260000006,1.901696608272235e-117,8.39662442439134e-114,57568,Hsap,Q9P2F8,PTHR15711
OG0003092,-12958.854308,-12694.151295,529.4060260000006,1.901696608272235e-117,8.39662442439134e-114,57568,Hsap,A0A6Q8PH54,NA
OG0002986,-16246.321824,-16003.560949,485.5217499999999,6.717495061426523e-108,2.224498489591393e-104,55614,Hsap,Q96L93,PTHR24115
OG0002986,-16246.321824,-16003.560949,485.5217499999999,6.717495061426523e-108,2.224498489591393e-104,55614,Hsap,A0A140VK74,NA
OG0002986,-16246.321824,-16003.560949,485.5217499999999,6.717495061426523e-108,2.224498489591393e-104,55614,Hsap,A0A1B0GTU3,NA
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,Q9ULV3,PTHR15491
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,A0A024R885,NA
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,B4E0A3,NA
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,B7Z3U7,NA
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,F5H2X7,NA
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,Q9BTG3,NA
OG0004162,-7379.223165,-7166.840793,424.76474400000006,1.1202814245981582e-94,2.4732079583712005e-91,64599,Hsap,NA,NA
OG0002655,-12782.711265,-12580.492274,404.43798199999947,2.97731583390405e-90,5.633932219413292e-87,400499,Hsap,NA,NA
OG0004569,-6290.967538,-6120.387773,341.159529999999,1.783679616200495e-76,2.9533275245239695e-73,9683,Hsap,O75113,PTHR12876
OG0007170,-5160.605119,-4990.316152,340.577933999999,2.3876857842574698e-76,3.51414287758605e-73,2161,Hsap,P00748,PTHR24264
OG0007170,-5160.605119,-4990.316152,340.577933999999,2.3876857842574698e-76,3.51414287758605e-73,2161,Hsap,Q8IZZ5,NA
OG0005210,-5891.53022,-5733.67086,315.71871999999894,6.200776617854566e-71,8.213548708010157e-68,79400,Hsap,Q96PH1,PTHR11972
OG0005210,-5891.53022,-5733.67086,315.71871999999894,6.200776617854566e-71,8.213548708010157e-68,79400,Hsap,A3QRJ0,NA
OG0005684,-5272.930269,-5115.419795,315.0209480000012,8.799192133901963e-71,1.0595827182333218e-67,84225,Hsap,Q9H091,PTHR47085
